node,average_degree_neighbors
0,289.55555555555554
6420,12.9
2941,23.0
3051,19.79194630872483
5511,21.73111111111111
1020,1.6046511627906976
4726,11.25925925925926
5968,1.174496644295302
5543,3.127659574468085
4089,5.333333333333333
6251,172.0
180,67.31531531531532
1712,92.54237288135593
2287,207.75
3552,30.17948717948718
4395,52.554054054054056
3920,20.044444444444444
6148,10.031578947368422
771,24.558764271323035
5208,6.896103896103896
790,63.95918367346939
4069,10.568047337278106
4522,27.3125
6203,9.4
4496,16.0625
1082,71.0
5175,24.264705882352942
3274,106.1
2173,207.625
2560,15.883969465648855
1465,52.05
3623,39.22222222222222
2831,27.0
1115,24.296703296703296
2944,74.5
4716,7.177777777777778
4463,37.53333333333333
77,0.0
2,45.4375
5079,13.625
2842,24.543478260869566
475,116.1
5911,3.8666666666666667
6454,0.0
1041,62.03846153846154
2856,62.107142857142854
6040,6.2
4059,42.4
813,91.27450980392157
479,35.7007874015748
609,184.6969696969697
6528,0.0
2807,58.92307692307692
1721,32.984375
1992,41.410714285714285
3,800.5
412,40.30357142857143
45,281.4516129032258
2367,19.6577868852459
996,57.916666666666664
2161,17.153625269203157
4421,7.216216216216216
4445,21.3
6101,1.7894736842105263
3356,50.10204081632653
3905,15.178571428571429
3138,18.785714285714285
2119,68.50515463917526
6442,2.5
327,100.97826086956522
3550,11.358620689655172
2650,15.852897473997029
3629,35.6875
4239,14.508196721311476
3857,13.87799043062201
2907,13.233962264150943
5383,6.75
5571,90.33333333333333
1751,23.859744990892533
3754,19.50793650793651
3087,23.35164835164835
4047,24.492227979274613
4717,4.688311688311688
5,28.8
3582,137.57142857142858
514,50.21052631578947
4660,80.0
183,149.7037037037037
6271,1.7307692307692308
5827,148.5625
3523,109.14285714285714
257,42.2
6310,46.36363636363637
5794,32.5
3476,36.607142857142854
5710,0.0
471,21.272727272727273
3312,50.5
5069,15.5
1133,86.08035714285714
6090,0.5
4811,0.0
3776,119.0
663,135.38709677419354
6,455.2
1482,88.03703703703704
1284,32.645792563600786
4451,44.94142259414226
7,126.41666666666667
2228,67.07692307692308
3350,59.06349206349206
6403,1.2666666666666666
768,72.41666666666667
1025,19.22222222222222
4615,5.75
64,132.78787878787878
1485,119.25
1240,43.825688073394495
2374,16.790393013100438
8,85.25
4018,42.92857142857143
612,32.510569105691054
5908,71.7872340425532
2825,25.3125
1253,30.0
5207,16.5
5756,27.571428571428573
5530,11.0
1195,34.55555555555556
2012,76.0
3551,11.95
2238,67.63157894736842
1155,24.209580838323355
4918,15.08
1100,25.93125
179,115.88
4214,13.76923076923077
4813,32.09090909090909
2257,30.444444444444443
9,82.75757575757575
3253,49.04651162790697
2568,9.46875
766,30.85185185185185
4953,22.925
1573,64.5
1056,20.5
3995,18.238095238095237
3329,12.857142857142858
1276,35.92307692307692
877,41.8125
1969,78.73239436619718
3952,44.266666666666666
5582,7.0
4663,16.25
5384,6.4375
5130,13.842105263157896
287,77.37142857142857
5385,11.642857142857142
6084,3.076923076923077
3313,21.5
1127,42.61666666666667
6056,2.6666666666666665
6466,0.3333333333333333
4329,4.0
1320,30.357142857142858
2108,45.13636363636363
6281,3.8333333333333335
10,346.06060606060606
3510,32.18181818181818
142,53.29811320754717
1890,7.378787878787879
398,95.42553191489361
5516,6.545454545454546
4453,12.672619047619047
5554,6.7317073170731705
5094,9.8
938,50.70631970260223
2799,18.822981366459626
2459,35.348837209302324
361,457.47058823529414
3959,18.0
2712,26.321428571428573
188,161.34
3046,127.0
1808,43.73529411764706
3459,13.474025974025974
98,76.35338345864662
1616,47.85606060606061
4719,7.7439024390243905
577,127.31666666666666
586,68.57575757575758
1875,4.333333333333333
4443,92.15789473684211
998,68.85714285714286
1917,107.88888888888889
399,88.26530612244898
2448,70.20588235294117
5578,63.04347826086956
6165,4.466666666666667
4724,38.166666666666664
6108,2.0
3472,29.530434782608694
3388,28.666666666666668
3984,17.46153846153846
1726,27.574074074074073
5388,5.208333333333333
3575,23.675675675675677
1285,107.86363636363636
1015,32.94512195121951
5792,129.0
2661,46.13333333333333
3096,74.25
210,129.6951219512195
3780,96.5
1939,29.64864864864865
5188,14.882352941176471
1440,40.64255319148936
6121,3.857142857142857
421,36.235955056179776
4840,28.0
2897,59.93333333333333
3904,27.627118644067796
2061,224.9
219,72.97368421052632
4960,10.666666666666666
6126,4.666666666666667
5266,4.5625
1548,27.31496062992126
5679,6.25
1147,65.58695652173913
3714,56.625
5310,15.215139442231076
5708,12.142857142857142
4004,43.256410256410255
1150,131.90384615384616
4565,10.92
4211,16.103896103896105
5096,188.0
4296,27.46808510638298
3861,49.083333333333336
165,96.0
4110,39.35294117647059
1261,23.87769784172662
2496,40.666666666666664
3390,84.93506493506493
5320,73.0
539,42.91208791208791
940,43.91208791208791
4998,2.0
1121,56.27272727272727
3172,139.625
516,104.79245283018868
4117,30.466666666666665
730,65.28571428571429
2614,29.732394366197184
931,80.11111111111111
1314,70.01282051282051
5121,65.375
2259,172.1904761904762
4586,5.7215189873417724
3746,62.625
3931,10.753086419753087
6474,2.0
6164,10.5
5095,3.6923076923076925
1183,76.58783783783784
1990,84.28333333333333
4692,10.105263157894736
4354,19.61111111111111
761,48.6375
6291,0.0
959,25.037037037037038
5535,13.285714285714286
5014,26.863636363636363
4227,97.42857142857143
4895,67.71428571428571
5440,27.4375
3351,44.24324324324324
6405,1.0
2319,70.03846153846153
3164,59.583333333333336
874,124.95522388059702
4334,83.5
571,28.1875
2323,45.333333333333336
4236,33.68292682926829
5254,29.5
5660,19.0
2853,71.0
4048,30.428571428571427
2847,168.85
2956,23.03968253968254
4529,28.785714285714285
554,86.1842105263158
580,133.3448275862069
6326,2.0
2965,94.61538461538461
4827,4.6
6354,0.0
1449,132.66666666666666
1227,90.84210526315789
5034,31.73482428115016
4292,15.0
2972,40.24309392265194
3634,32.707317073170735
194,118.51515151515152
4622,28.7
132,72.79816513761467
2292,38.166666666666664
1974,32.523809523809526
3298,34.582417582417584
5652,1.4137931034482758
1170,96.56756756756756
5914,2.4
6219,30.583333333333332
2043,22.8125
5804,6.3
6433,67.8265306122449
5037,19.4375
1633,49.54545454545455
4127,20.46153846153846
3963,17.5
2438,16.857142857142858
1993,148.72222222222223
1687,67.875
1679,7.052631578947368
3637,51.16216216216216
312,51.666666666666664
12,107.1875
1208,64.0
2594,170.42857142857142
3771,108.66666666666667
440,43.333333333333336
2940,30.357142857142858
2372,66.07142857142857
3367,74.5
2075,127.35714285714286
1946,60.6551724137931
1856,75.6
6169,0.0
2727,17.0
5894,24.75862068965517
426,141.42424242424244
3546,43.0
13,40.15625
86,101.47297297297297
5572,3.2
5445,34.229729729729726
5418,52.13953488372093
4839,51.666666666666664
5536,20.114285714285714
4989,7.5
4624,231.375
3061,14.076923076923077
4583,82.55555555555556
2022,64.79310344827586
4075,11.5
1450,66.32727272727273
1953,99.10526315789474
910,158.7536231884058
4974,42.0
4913,35.55555555555556
869,100.375
6279,68.14285714285714
3148,5.0
4978,16.6
6440,2.0
3449,104.76470588235294
234,55.0
6517,0.0
15,288.1666666666667
4253,24.130434782608695
5426,19.0
3968,37.69565217391305
5419,5.25
16,211.18421052631578
3592,37.004347826086956
592,137.69014084507043
5519,6.851851851851852
1825,16.8953488372093
4405,7.448275862068965
5005,9.6
4248,11.464788732394366
2049,48.737089201877936
1934,44.98802395209581
2639,16.580645161290324
3992,16.550847457627118
2055,32.454918032786885
2720,15.2
3701,15.21301775147929
5190,56.0
2788,59.1764705882353
3769,5.0
2532,38.484848484848484
1652,18.08823529411765
1358,42.20909090909091
1553,0.0
5055,19.145833333333332
3004,22.183431952662723
5873,4.4
4342,10.25
4434,31.636363636363637
3239,7.795918367346939
5103,3.2222222222222223
6269,19.45
285,42.13145539906103
5105,19.285714285714285
4846,13.649122807017545
17,158.66666666666666
2552,25.5625
112,131.16666666666666
5988,16.25
5260,28.0
389,31.0
6526,0.0
3258,0.0
3578,20.294117647058822
1931,28.630434782608695
2065,99.6875
5867,6.5
4659,10.4
18,76.22222222222223
2692,0.0
1108,42.5
5680,7.0
2653,101.625
5807,52.666666666666664
690,128.35714285714286
19,167.27272727272728
4120,120.5
2115,13.789473684210526
4600,94.6
214,116.2560975609756
1707,43.142857142857146
1781,66.33333333333333
153,18.0
225,279.0
21,370.5
3868,11.6
3276,61.96296296296296
726,56.594202898550726
1983,57.51744186046512
131,78.74324324324324
22,324.8
1719,32.74260355029586
1386,44.45859872611465
2436,111.42424242424242
1070,95.78571428571429
6469,0.0
4200,10.25
6337,135.75
204,47.86607142857143
1705,28.08695652173913
2230,68.47368421052632
100,23.488888888888887
4799,19.416666666666668
2470,50.440298507462686
5291,7.8
23,140.67441860465115
695,97.0
241,78.20661157024793
2681,151.88888888888889
3259,15.662790697674419
74,36.327586206896555
3034,37.56842105263158
2606,29.127450980392158
2885,27.586206896551722
2157,27.634920634920636
2301,31.964285714285715
4454,16.313253012048193
5767,13.714285714285714
5397,10.75
1430,24.830188679245282
2460,26.81132075471698
3935,10.197026022304833
4417,54.375
6140,3.0
2468,15.273684210526316
3677,22.666666666666668
4413,25.8
2365,50.014925373134325
5828,4.117647058823529
1780,29.666666666666668
24,54.22222222222222
2584,20.229357798165136
5217,14.181818181818182
1156,28.633540372670808
3588,16.102564102564102
3170,9.666666666666666
1837,35.65384615384615
5161,0.0
5936,1.5
25,253.85294117647058
192,87.265625
420,51.01857585139319
92,35.885416666666664
4163,17.7027027027027
4179,9.89655172413793
4854,40.5
5684,2.0
1504,126.84
431,30.183760683760685
818,84.04761904761905
4009,28.352941176470587
26,36.285714285714285
1670,21.359223300970875
6315,0.0
3296,51.0
2770,22.743589743589745
1802,59.58730158730159
1527,44.03448275862069
27,110.46666666666667
6325,2.0
2773,12.205128205128204
4261,54.6
892,176.8695652173913
118,147.18571428571428
3316,38.875
6476,0.0
3017,50.76470588235294
28,18.77777777777778
5487,24.0
3642,113.0
6329,1.0
1032,29.253164556962027
4835,10.0
1877,96.6923076923077
3188,23.80952380952381
5601,0.5
205,28.0
2244,179.89285714285714
30,149.30769230769232
2608,43.02777777777778
1667,167.25
2352,67.89189189189189
4783,7.0
3867,110.33333333333333
3305,107.125
3695,110.0
1356,107.92592592592592
1972,34.72727272727273
3391,14.428571428571429
590,42.125
2682,64.48979591836735
5677,31.416666666666668
1000,49.432432432432435
3927,14.767123287671232
3679,14.666666666666666
5230,15.91304347826087
1824,26.203007518796994
3385,60.72222222222222
2096,99.53521126760563
5062,22.625
6423,16.466666666666665
2984,64.2258064516129
4457,33.5
2102,67.46666666666667
4034,14.041666666666666
4584,38.526315789473685
2414,52.411764705882355
3761,93.08196721311475
3536,67.65
2404,39.06153846153846
169,92.75510204081633
