node,closeness
0,0.0
6420,0.20315624360059947
2941,0.02614856548473659
3051,0.14144111335620194
5511,0.028234383727932084
1020,0.38102688283093744
4726,0.22556729716173926
5968,0.4297038683501023
5543,0.35858254309090226
4089,0.13576501082112574
6251,0.0
180,0.0007731368356750152
1712,0.047243419132678835
2287,0.00015271838729383018
3552,0.17103799508100795
4395,0.006167069983037116
3920,0.19960965300222147
6148,0.2451387874905017
771,0.03786250477352086
5208,0.32114135150226325
790,0.0057139634513956265
4069,0.22012963193485094
4522,0.19223517581757832
6203,0.34493220586831236
4496,0.17843441682538716
1082,0.03240898363403275
5175,0.25837694328437594
3274,0.0
2173,0.09471251765920255
2560,0.14552814782295642
1465,0.03493463961545819
3623,0.07473051089140462
2831,0.056627489867588275
1115,0.03418873650086585
2944,0.0686474312034374
4716,0.23906247947653333
4463,0.19458652619569514
77,0.3661720805321627
2,0.0
5079,0.18822838824558263
2842,0.08938102718107753
475,0.0012057914459468085
5911,0.2722251598992975
6454,0.32157162139728374
1041,0.026302207985319924
2856,0.10520014118441118
6040,0.27535737615210004
4059,0.1513782735915496
813,0.03090210099443112
479,0.00564470654574503
609,0.0017784302520346032
6528,0.30030976868116993
2807,0.09260014398074105
1721,0.03619932345696864
1992,0.05075629963347587
3,0.0
412,0.0008144980655670943
45,0.0
2367,0.11665294639355565
996,0.02896338498747086
2161,0.1422660580150074
4421,0.19877585903936187
4445,0.17333803327129887
6101,0.34633845754140047
3356,0.007697006719609042
3905,0.20045451979578569
3138,0.11596991410824067
2119,0.0762844875713014
6442,0.3316067697811005
327,0.0009852799180247109
3550,0.19802294163135956
2650,0.1530987155044747
3629,0.16620053347795136
4239,0.20072224581351022
3857,0.1388068555308259
2907,0.1345483405880679
5383,0.20148773866119082
5571,0.11182459451209928
1751,0.07995132701522031
3754,0.16830258893912595
3087,0.14973559204587936
4047,0.13732455610292063
4717,0.29449187774703295
5,0.0
3582,0.16619332212897825
514,0.00015271838729383018
4660,0.17019767175770692
183,0.00030543677458766036
6271,0.3733573570867364
5827,0.0
3523,0.13191216459720354
257,0.000575630844415206
6310,0.12308960989836691
5794,0.2197726388454547
3476,0.19475076029326055
5710,0.0888781194144664
471,0.0004886988393402566
3312,0.12777807774292194
5069,0.1930870686495296
1133,0.04319803658235688
6090,0.32045874719792034
4811,0.08321787423577699
3776,0.15728980085915314
663,0.004554456421069226
6,0.0
1482,0.020868434144455352
1284,0.04834220194303854
4451,0.07128329155651882
7,0.0
2228,0.09943392537314345
3350,0.00218346018590368
6403,0.3418473075139203
768,0.005535572758539937
1025,0.03787786299286746
4615,0.1968989480539664
64,0.00015271838729383018
1485,0.02479408331925564
1240,0.033349077913012434
2374,0.09656671131691219
8,0.0
4018,0.19389048571797987
612,0.014583802205575026
5908,0.00015271838729383018
2825,0.03168128480552795
1253,0.02127452180463851
5207,0.22324657055677996
5756,0.22791362163770587
5530,0.2610131819848553
1195,0.004514751720903576
2012,0.1606979434250166
3551,0.14061495761730083
2238,0.09346336528310378
1155,0.032809764383391574
4918,0.2691377965457689
1100,0.03307851271622217
179,0.00030543677458766036
4214,0.1693641081813306
4813,0.20214688307395726
2257,0.09940379148558837
9,0.0
3253,0.09768806431017411
2568,0.22670466777742398
766,0.006982476230207804
4953,0.11698413671532967
1573,0.0372698294491015
1056,0.19021220047314827
3995,0.18542841526540849
3329,0.03689162177931272
1276,0.00015271838729383018
877,0.0006844046245390166
1969,0.054023250918490105
3952,0.15226300427373424
5582,0.2365185708664334
4663,0.17732175449684087
5384,0.21034415305832452
5130,0.21142289551676666
287,0.03141038485033598
